"课程名称","课程类型","课程介绍","课程链接","二级部门","课程属性","授课日期"
"跨越PoC：大模型系统工程化范式与搜广推全链路智能重构","研发技术类","本次分享聚焦大模型系统工程的各层级挑战，解析如何通过自主多 Agent 协作架构、知识图谱以及针对AI载体优化的容器环境，构建起稳定高效的智能平台。同时，分享将揭示搜索、广告与推荐系统在大模型时代下的深刻变革——即如何利用生成式模型解决冷启动与长周期行为预测等传统难题，并探讨基于 NPU 亲和架构的性能优化之道。","https://ebg.iflytek.com/course/detail?id=q5lm8fgoitd490h3puizg0x4","技术平台部","精品课程","2025-12-23"
"解码大模型在Android开发赋能、后端研发全链路和智能体测试的提效实践以及大模型提效开发流程规范","研发技术类","大模型技术正成为驱动业务创新与效率跃迁的核心动力。为加速教育团队对大模型技术的深度应用与价值挖掘，本次专题分享会汇聚四位技术专家，从Gemini助力学习机Android开发提效、大学情全链路效能升级到智能体遍历测试创新提效实践，全方位分享大模型在教育场景中的落地实践与前沿探索。揭秘Gemini模型如何重构Android端单词学习功能，实现开发效率的提升;分享大学情后端服务提效实践，系统性拆解后端全链路效能提升的实践路径;演示如何通过智能体自动生成测试用例并完成多维度遍历测试;系统性的演示MCP工具如何通过标准化流程加速大模型开发，为教育场景提供敏捷支持。","https://ebg.iflytek.com/course/detail?id=jbor22giwsa7wderagkdctg5","技术平台部","","2025-05-27"
"大模型赋能前端研发:Codecratt智能研发助手实战全解析","研发技术类","在数字化转型与AI技术深度融合的浪潮下，大模型正逐步成为研发效能跃升的核心引擎为助力教育BG各团队突破技术边界、实现高效协同，本次专题分享会将聚焦“大模型研发提效”主题，通过真实项目案例拆解，展示如何借助CodeCraft智能研发助手快速完成前端研发、精准还原设计稿，并推动工程标准化落地。本次分享将深度解析CodeCraft的核心功能揭秘如何通过智能研发助手提升日常开发效率;演示如何通过CodeCraft插件一键解析UI设计稿，生成高还原度代码;揭秘如何通过CodeCraft插件快速搭建轻量级前端工程模板，解决跨技术栈开发难题。无论您是前端、服务端还是产品设计角色，都能从中获得“降本、提速、质”的实战经验，为教育业务创新注入新动能！","https://ebg.iflytek.com/course/detail?id=q629hnngxmrz499pktuwaz56","技术平台部","","2025-11-18"
"产研过程中的易用性度量","研发技术类","帮助设计师&产品经理掌握易用性度量工具与方法的实践应用","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=b7e8e2a032da451a89d13ef34232ef9b","体验设计中心","","2025-04-13"
"教育场景下的软硬一体化体验科学","研发技术类","分享户外和室内不同场景下的软硬件设计思路","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=833d7b4fa8fa4875afdeafe22612cf37","体验设计中心","精品课程","2025-04-29"
"AI-UX设计认知集","研发技术类","经验分享","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=65ac5abf6f074043bf815e787bc8fb99","体验设计中心","精品课程","2025-06-11"
"以经营为导向的硬件降本——如何驱动跨团队协同作战","研发技术类","经验分享","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=843a6894dd1a4f839acc017c4dac78e6","产品与项目管理部","","2025-06-10"
"B端产品需求决策模型应用实践","产品类","1，跳出 “客户要什么就给什么” 的需求陷阱
2，拒绝产品变成 “功能杂货铺”
3， “坚决做“与”坚决不做”的实践","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=1e449be3b54f4827a163baa1fcf79afa","产品与项目管理部","精品课程","2025-07-23"
"财务制度培训","通用类","熟悉公司全套财务管理制度与审批流程，掌握费用报销、资金申请、票据管理等实操规范，规避财务合规风险","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=1d25f48a02d447f59a89a8b9f9d64d73","考试与语言学习产品线","","2025-08-12"
"C端英语学习硬件产品破局之路","产品类","C 端英语学习硬件同质化竞争痛点，掌握产品差异化定位、软硬件生态搭建与市场渠道破局实操方法，打造具备市场竞争力的英语硬件产品体系","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=01244c7b52ff4caabbab53556277a21c","考试与语言学习产品线","","2025-09-24"
"大模型技术在考试命题工作中的应用实践","产品类","掌握大模型赋能命题各环节的实操方法，运用技术实现题库扩充、试题打磨、组卷优化，提升考试命题效率与试题质量","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=61c3a24cd4024d09a34ea39b8eac9673","考试与语言学习产品线","","2025-10-30"
"解锁香港普通话业务落地的破局启发","产品类","剖析香港普通话业务市场环境与落地痛点，提炼本地化产品、渠道、校企合作、AI 教学融合的破局路径，掌握适配香港 “两文三语” 环境的业务拓展实操方法","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=612eb57d70a24d948fe56d89575e10f0","考试与语言学习产品线","","2025-12-25"
"个册及区域联考产品解读及应用分享产品知识赋能","产品类","传递个册最新产品方案、功能及操作应用","https://www.21tb.cn/IN4NE0iU1jdie","大学情产品线","","2025-04-10"
"个册产品解读及应用分享产品知识赋能","产品类","深度解读个性化学习手册产品，分享价值及应用经验。","https://www.21tb.cn/IN4NE0iYe4Sz8","大学情产品线","","2025-06-12"
"大学情GBC业务组合及销售策略","产品类","深度聚焦政策环境及行业态势，阐述大学情当前产品业务框架、产品组合方案及销售策略。","https://www.21tb.cn/IN4NE0m2bS6bj","大学情产品线","","2025-08-04"
"大学情产品组合方案","产品类","深度聚焦政策环境及行业态势，阐述大学情当前产品业务框架、产品组合方案及销售策略。","https://www.21tb.cn/IN4NE0m2jZVas","大学情产品线","","2025-08-04"
"大数据精准教学产品介绍","产品类","立足当下教育政策的前沿导向与教学的实际发展现状，系统阐述大数据精准教学系统的产品架构、用户价值，并辅以生动详实的真实学校案例展示。","https://www.21tb.cn/IN4NE0m2aPvx3","大学情产品线","","2025-08-04"
"大数据精准教学平台演示","产品类","立足当下教育政策的前沿导向与教学的实际发展现状，系统阐述大数据精准教学系统的产品架构、用户价值，并辅以生动详实的真实学校案例展示。","https://www.21tb.cn/IN4NE0m2idecc","大学情产品线","","2025-08-04"
"大数据精准教学应用案例","产品类","立足当下教育政策的前沿导向与教学的实际发展现状，系统阐述大数据精准教学系统的产品架构、用户价值，并辅以生动详实的真实学校案例展示。","https://www.21tb.cn/IN4NE0m2dWnSL","大学情产品线","","2025-08-04"
"数智作业产品介绍及平台演示","产品类","针对传统作业场景中的痛点、难点，剖析数智作业的核心价值，详细演示数智作业应用全流程，同时辅以AB类学校案例，展示作业产品在不同教学场景下的应用价值和实践方法。","https://www.21tb.cn/IN4NE0m21SC57","大学情产品线","","2025-08-04"
"数智作业应用案例","产品类","针对传统作业场景中的痛点、难点，剖析数智作业的核心价值，详细演示数智作业应用全流程，同时辅以AB类学校案例，展示作业产品在不同教学场景下的应用价值和实践方法。","https://www.21tb.cn/IN4NE0m27JrfJ","大学情产品线","","2025-08-04"
"新中高考资源解决方案","产品类","系统讲解智学网考试资源库的构建逻辑与核心资源优势，深度解析题库产品与竞品对比的核心竞争力。","https://www.21tb.cn/IN4NE0m24NkFP","大学情产品线","","2025-08-04"
"作业资源区域化建设内容全景","产品类","深度聚焦政策环境及行业态势，阐述大学情当前产品业务框架、产品组合方案及销售策略。","https://www.21tb.cn/IN4NE0m2cK6SX","大学情产品线","","2025-08-04"
"个性化学习手册应用案例","产品类","聚焦如何精准识别学习痛点，通过实例解析个性化手册的定制逻辑，针对不同知识掌握程度设计分层训练内容，借助手册追踪学习进展、调整学习策略，以及利用手册中的专项突破模块攻克薄弱环节。","https://www.21tb.cn/IN4NE0m1S0eWh","大学情产品线","","2025-08-04"
"批阅机X40产品介绍","产品类","立足政策与技术升级背景，全面解读星火智能批阅机 X40 的产品特性与功能，同步展示其在初高中不同学段、不同学科的应用模式。","https://www.21tb.cn/IN4NE0m1Xg38W","大学情产品线","","2025-08-04"
"批阅机X40产品演示","产品类","立足政策与技术升级背景，全面解读星火智能批阅机 X40 的产品特性与功能，同步展示其在初高中不同学段、不同学科的应用模式。","https://www.21tb.cn/IN4NE0m1YkZNp","大学情产品线","","2025-08-04"
"批阅机竞品分析及应对策略","产品类","分析针对竞品的产品应对策略，以全都会为例进行分析对比","https://www.21tb.cn/IN4NE0mEixukh","大学情产品线","","2025-10-10"
"数智基座系列产品培训","产品类","掌握平台产线的产品知识","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=bc016014fb534caf8d790e4180e05017","市场与方案部","","2025-08-25"
"大学情常见问题及批阅机组合策略分享和交流","产品类","掌握大学情产线的产品知识","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=bbbd726629b841d5b83f8557774d305e","市场与方案部","","2025-09-25"
"智慧心育系列产品培训","产品类","掌握心育产线的产品知识","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=1ec6065b2a854a898739c2457f227f9d","市场与方案部","","2025-10-30"
"教育国家级战略合作情况同步与解析","运营类","掌握教育国家级战略合作情况","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=32d6dffb3730491f8d9371d6449df0ea","市场与方案部","精品课程","2025-10-30"
"如何面向区域客户开展基础教育专项债项目谋划","市场类","面向客户汇报基础教育领域专项债项目规划","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=4b34546f6ba14332bd05089bee440b29","大客户业务部","","2025-04-24"
"专项债单项目运作案例分享","市场类","成功项目运作案例剖析及经验分享","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=446e822b0ac84b4c8ef4763c593b4a96","大客户业务部","","2025-04-24"
"专项债资金平衡方案培训 ","市场类","资金平衡方案编制学习","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=fb20665dd6724992a4bafb1de76a0075","大客户业务部","","2025-08-11"
